commit	val_bpb	memory_gb	status	description	sample_text
8ec168a	1.056204	6.0	discard	Combine residual scaling optimizations: initialize resid_lambdas to 0.9 (weaker residual) and x0_lambdas to 0.0 (remove deep residual) for improved gradient flow	The aim of this study was to determine the effect of the administration of a single dose of 1.5 mg/kg bolus of 1.5 mg/kg bolus on the pharmacokinetics of 1.5 mg/kg bolus and 1.5 mg/kg bolus. The pharmacokinetics of 1.5 mg/kg bolus was determined by the pharmacokinetics of 1.5 mg/kg bolus. The pharmacokinetics of 1.5
888ce87	1.054131	6.0	discard	Scale token embedding initialization to match transformer weight initialization (std=s instead of 1.0) for better initial gradient flow	The aim of this study was to determine the effect of the addition of a new anti-inflammatory agent, a new anti-inflammatory agent, on the development of the rat model of acute myocardial infarction (AMI) in rats. The rats were divided into 3 groups: control group (n = 10) and control group (n = 10) group (n = 10) group (n = 10) group (n = 10) group (n = 10) group (
826ab2c	1.085145	6.0	discard	Add random token replacement data augmentation: randomly replace 1% of input tokens with random vocabulary IDs during training to improve regularization and robustness	The aim of this study was to determine the effect of the administration of the antihypertensive drugs on the development of the antihypertensive drugs of the treatment of the hypertension and the development of hypertension. The study was designed to determine the effect of the antihypertensive drugs on the development of hypertension and the development of hypertension. The study was designed to determine the effect of the antihypertensive drugs on the development of hypertension and hypertension. The study was designed to determine the effect of the antihypertensive
850d285	0.964960	2.9	discard	Switch to optimal narrow configuration: ASPECT_RATIO=32 (384 dims), 3x MLP expansion, and SS window pattern for maximum training throughput, allowing significantly more training steps within the 5-minute budget	The aim of this study was to investigate the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
f3c6de2	1.081209	6.0	discard	Reduce z-loss regularization coefficient from 1e-4 to 5e-5 to halve the logit regularization penalty, allowing slightly sharper predictions while maintaining training stability	The aim of this study was to determine the effect of the administration of the anti-inflammatory drug (AN) on the expression of the anti-inflammatory cytokine interleukin (IL)-1beta (IL-1beta) and IL-1beta (IL-1beta) in the rat. The effect of AN on the expression of IL-1beta and IL-1beta in the rat was investigated. The effect of AN on the expression of IL-1beta and IL-1beta in
4953bef	0.000000	0.0	crash	Implement variable sequence length training by randomly truncating 50% of batches to lengths between 1024 and 2048, increasing training throughput (~25% faster attention) for more optimization steps within the 5-minute budget [^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2da2309	1.090523	5.5	discard	Use parallel attention and MLP blocks (PaLM/GPT-J style) to reduce normalization operations and increase training throughput, allowing more optimization steps within the 5-minute budget	The aim of this study was to determine the effect of a new antidepressant, antidepressant, on the development of the antidepressant and antidepressant antidepressant, antidepressant, and antidepressant antidepressant. The antidepressant and antidepressant antidepressant antidepressant, antidepressant, antidepressant, antidepressant, antidepressant, antidepressant
cdd8761	1.083882	6.0	discard	Reduce token embedding weight decay from 0.001 to 0.0005 for less aggressive regularization on the wide model's embeddings during short training	The aim of this study was to determine the effect of the presence of a 2,3-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-
-------	0.000000	0.0	crash	FAILED TO APPLY: Apply layer-wise learning rate decay to Muon optimizer: use 0.9x learning rate for deeper transformer layers (second half of model) compared to early layers to stabilize training of higher-level representations	
5a36a5b	1.075750	6.0	discard	Set FINAL_LR_FRAC to 0.05 to maintain small but non-zero learning rate updates at the end of training, potentially improving final convergence beyond the current best	The aim of this study was to evaluate the effect of a 2,3-dihydroxyvitamin D3 (D3D3) on the expression of the 2,3-dihydroxyvitamin D3 (2,3-dihydroxyvitamin D3) in the rat liver. The effect of 2,3-dihydroxyvitamin D3 on the expression of 2,3-dihydroxyvitamin D3 (2,3-dihydroxyvitamin
ea461bd	0.997218	7.0	discard	Replace standard cross-entropy with focal loss (gamma=2) to focus training on hard examples, which may improve sample efficiency during the short 5-minute training window	The aim of this study was to determine the effect of the presence of a single dose of 100 mg/kg of body weight (BW) on the incidence of acute respiratory syndrome (SARS) in patients with chronic respiratory syndrome (CRS). The study was performed in 19 patients with chronic respiratory syndrome (CRS) and in 19 patients with CRS. The mean age of the patients was 2.5 years (range 1-10 years). The mean age of
c1c95b8	1.151683	6.0	discard	Add depth-scaled residual connections by scaling attention and MLP residual branches by 1/sqrt(n_layer) to improve gradient flow and training stability in deep networks	The aim of this study was to determine the effect of the treatment of the acute phase of the acute phase of the phase of the phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase
3329bc2	0.000000	0.0	crash	Combine optimal narrow configuration (ASPECT_RATIO=32, 3x MLP expansion, SS window pattern) with removal of deep residual connection (x0_lambdas=0.0) to maximize training steps and improve gradient flow [File "/home/pat/autoresearch/.venv/lib/python3.12/site-packages/torch/_prims_common/wrappers.py", li]	
a602a37	1.088285	6.0	discard	Initialize resid_lambdas to 0.9 instead of 1.0 to weaken initial residual connection strength, combining with the current best x0_lambdas=0.0 configuration for improved gradient flow	The aim of this study was to determine the effect of a single dose of 100 mg/kg body weight (BW) on the incidence of acute myocardial infarction (AMI) in patients with AMI. The study was performed in 10 patients with AMI and 100 mg/kg body weight (BW) and 100 mg/kg body weight (BW) in patients with AMI. The mean BW was 1.5 +/- 0.5 mg/kg
a0eb9e2	1.266619	11.6	discard	Add stochastic depth (layer dropout) with 10% probability to each transformer block for regularization, improving gradient flow and generalization in the deep 12-layer narrow configuration	The effect of the 1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ffc90e7	1.080102	6.0	discard	Set logit softcap to 15 for slightly sharper predictions while maintaining training stability	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5
d230157	1.083916	6.0	discard	Remove weight decay on value embeddings (set to 0.0) to reduce regularization on residual connection parameters, potentially allowing faster adaptation of value residual paths	The aim of this study was to determine the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
59c0d8c	1.188016	6.7	discard	Increase attention heads in wide config: change HEAD_DIM from 128 to 96 (8 heads instead of 6) for better representational capacity without increasing FLOPs or memory, building on the current best wide configuration	The aim of this study was to determine the effect of the treatment of the acute phase of the phase of the phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase phase
f994aed	1.094298	6.0	discard	Initialize attention and MLP output projection weights (c_proj) with small normal distribution (std=0.02) instead of zeros to improve initial gradient flow and signal propagation	The aim of this study was to determine the effect of the 2,3-dihydroxyvitamin D3 (3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H3H
2f290b2	0.963668	2.9	discard	Apply optimal narrow configuration (ASPECT_RATIO=32, 3x MLP, SS window) with x0_lambdas=0.0 and align value embeddings AdamW betas to (0.8, 0.95) for faster residual adaptation	The aim of this study was to investigate the effect of the use of a new diclofenac (DF) on the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the
3376ec9	1.060014	6.0	discard	Combine best residual settings: remove deep residual (x0_lambdas=0.0) and weaken main residual (resid_lambdas=0.9) for improved gradient flow	The aim of this study was to determine the effect of the administration of a single dose of 1,2,3,4,5-trisphosphate (TP) on the expression of the extracellular matrix (ECM) in the rat brain. The expression of ECM was measured in the brain of rats with a 1,2,3,4,5-trisphosphate (TP) and a 1,2,3,4-trisphosphate (TP) in
ad8d3fb	1.107938	6.0	discard	Switch to SS window pattern (all short-window layers except last) and remove deep residual connection (x0_lambdas=0.0) to maximize training throughput with the wide model configuration, allowing significantly more optimization steps within the 5-minute budget while maintaining effective capacity	The aim of this study was to determine the effect of the 2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
bac78c8	1.080931	6.0	discard	Align value embeddings AdamW betas with other AdamW parameters (0.8, 0.95) instead of (0.9, 0.999) for faster adaptation of residual connections in the wide configuration	The aim of this study was to determine the effect of the 2- and 3- to 4- to 5-year-old male patient with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of
a78c4b7	1.107465	6.0	discard	Change MLP activation from ReLU squared to SiLU for smoother gradients and better optimization dynamics	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
2f06631	0.927295	5.9	keep	Apply best configuration: remove deep residual connections (x0_lambdas=0.0) and disable z-loss regularization to reduce training penalty and simplify objective	The aim of this study was to investigate the effect of the combination of the two drugs on the expression of the genes encoding the proteins involved in the regulation of the expression of the genes encoding the proteins involved in the regulation of the expression of the genes encoding the proteins involved in the regulation of the expression of the genes encoding the proteins involved in the regulation of the expression of the genes encoding the proteins involved in the regulation of the expression of the genes encoding the proteins involved in the regulation of the expression of the
d56a90d	0.921950	5.9	keep	Initialize resid_lambdas to 0.9 (weaker initial residual) and remove weight decay on residual scalars to allow them to adapt freely from this reduced starting point	The aim of this study was to investigate the effect of the combination of the two drugs on the growth of the human breast cancer cell line MCF-7. The results showed that the combination of the two drugs was effective in the growth of MCF-7 cells. The combination of the two drugs was effective in the growth of MCF-7 cells. The combination of the two drugs was effective in the growth of MCF-7 cells. The combination of the two drugs was effective in the
29f702b	0.935846	5.4	discard	Switch MLP activation from ReLU squared to standard ReLU for potentially better optimization dynamics with the narrow model configuration	The aim of this study was to investigate the effect of the use of a combination of the two drugs on the growth of the human breast cancer cell line MCF-7. The results showed that the combination of the two drugs had no effect on the growth of MCF-7 cells. The combination of the two drugs had no effect on the growth of MCF-7 cells. The combination of the two drugs had no effect on the growth of MCF-7 cells. The combination of the
